Representation,Romaji,ClassificationId,Group
あ,a,1,a
い,i,1,a
う,u,1,a
え,e,1,a
お,o,1,a
か,ka,1,k
き,ki,1,k
く,ku,1,k
け,ke,1,k
こ,ko,1,k
ま,ma,1,m
み,mi,1,m
む,mu,1,m
め,me,1,m
も,mo,1,m
な,na,1,n
に,ni,1,n
ぬ,nu,1,n
ね,ne,1,n
の,no,1,n
は,ha,1,h
へ,he,1,h
ふ,fu,1,f
ひ,hi,1,h
ほ,ho,1,h
た,ta,1,t
ち,chi,1,t
つ,tsu,1,t
て,te,1,t
と,to,1,t
や,ya,1,y
よ,yo,1,y
ゆ,yu,1,y
ら,ra,1,r
れ,re,1,r
る,ru,1,r
り,ri,1,r
ろ,ro,1,r
さ,sa,1,s
し,shi,1,s
す,su,1,s
せ,se,1,s
そ,so,1,s
わ,wa,1,w
を,wo,1,w
ん,n,1,n
ア,a,2,a
イ,i,2,i
ウ,u,2,u
エ,e,2,e
オ,o,2,o
カ,ka,2,k
キ,ki,2,k
ク,ku,2,k
ケ,ke,2,k
コ,ko,2,k
マ,ma,2,m
ミ,mi,2,m
ム,mu,2,m
メ,me,2,m
モ,mo,2,m
ナ,na,2,n
ニ,ni,2,n
ヌ,nu,2,n
ネ,ne,2,n
ノ,no,2,n
ハ,ha,2,h
ヘ,he,2,h
フ,fu,2,f
ヒ,hi,2,h
ホ,ho,2,h
タ,ta,2,t
チ,chi,2,t
ツ,tsu,2,t
テ,te,2,t
ト,to,2,t
ヨ,yo,2,y
ヤ,ya,2,y
ユ,yu,2,y
ラ,ra,2,r
レ,re,2,r
ル,ru,2,r
リ,ri,2,r
ロ,ro,2,r
サ,sa,2,s
シ,shi,2,s
ス,su,2,s
セ,se,2,s
ソ,so,2,s
ワ,wa,2,w
ヲ,wo,2,w
ン,n,2,n
